Parameter,Value
Number of Stages,3.0
Stage 1 Pressure (psia),414.65
Stage 2 Pressure (psia),214.65
Stage 3 Pressure (psia),39.65
Process Temperature (F),100.0
GOR [scf/stb],33226.5455969234
API gravity - stock tank condensate,60.9069569393064
%%%ENDOFMETADATA%%%,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,DeltaH - Stage 2 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 3 Pressure to Pipeline Pressure (kJ/scf),LHV (kJ/scf)
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.0454316716028228,0.0003961105614928,0.0010254527597111,0.0579900498983288,0.519699683203823,1.83233580314215,0.634634164196428,1.68462256303521,0.508125772001143,0.465516749530021,0.422790119233867,0.405213577563069,4.87739088033294e-05,,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,1.0,bbl/bbl,kg/bbl,0.287214201031716,0.0224316144401565,0.0035220322954976,1.00848047154585,2.04644080150187,3.11283928892446,0.730445977069524,1.74215406172786,0.441583664582262,0.391932188594647,0.332914366249507,0.314444722111442,4.10922066146916e-05,,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,1.0,bbl/bbl,kg/bbl,0.161971228857258,0.0963359140136444,0.0011363219000038,1.42559038851452,0.74915116724791,0.567063474969737,0.100340819466855,0.222348652868496,0.0512724161707508,0.0449075538652599,0.0381560417777795,0.038652128208262,7.86980211542398e-06,,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,1.0,bbl/bbl,kg/bbl,33.5968335276873,64.3643177233505,0.202429935344712,447.041350571684,138.948071786393,95.1484197163064,16.8563664352538,37.4162736357715,8.91278675722549,7.86804320380978,7.04247255302051,7.78787257724777,0.0024599384131275,,,
Facility,Vapor,Default-LeakGc,1.0,bbl/bbl,kg/bbl,34.0460189575763,64.4830852518043,0.207088289540213,449.475421431744,141.743663755143,98.8283224802006,17.6871532317902,39.3807763503679,9.40564283797851,8.30488294626969,7.4135429610478,8.14096942756747,0.0025089004218576,,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,105.000003226521,scf/bbl,kg/scf,0.0004326825733977,3.77248142210309e-06,9.76621645904966e-06,0.0005522861725368,0.0049495206403246,0.0174508166365402,0.0060441347113799,0.016044023916846,0.004839292917972,0.004433492716431,0.0040265724404004,0.0038591768105843,4.64513402900639e-07,,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,225.600287605777,scf/bbl,kg/scf,0.0012731109702023,9.94307883124441e-05,1.56118253787523e-05,0.0044702091573043,0.0090710912792713,0.0137980289030658,0.0032377883238603,0.0077223042586371,0.0019573719043918,0.0017372858552358,0.0014756823662887,0.0013938134806854,1.82146073707573e-07,,179.28,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,118.354766343274,scf/bbl,kg/scf,0.001368523075678,0.000813958888096,9.60098131331754e-06,0.0120450610698665,0.0063297084721969,0.0047912178992862,0.000847797030631,0.0018786624293913,0.0004332095593179,0.000379431730996,0.0003223870314365,0.0003265785519457,6.64933264503986e-08,60.39,164.42,
Stage1,Vapor,Well-Condensate.Stage1-Flash,32658.3064130673,scf/bbl,kg/scf,0.0010287377766241,0.0019708406464579,6.19842109337657e-06,0.0136884425333462,0.0042546012652633,0.0029134523545971,0.0005161433119663,0.0011456893435478,0.0002729102558012,0.0002409201231776,0.0002156410826681,0.0002384652920682,7.53235143921395e-08,49.31,160.4,-9999050.877710987
Facility,Vapor,Default-LeakGc,33002.2614670164,scf/bbl,kg/scf,0.0010316268474996,0.0019538989870815,6.27497269383144e-06,0.0136195339789355,0.0042949682068547,0.0029945924335813,0.0005359376129259,0.0011932750847915,0.0002849999490907,0.0002516458744674,0.0002246374227553,0.00024667913851,7.60220757709339e-08,,,
Tank,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash,125.506503856661,mol/bbl,mol/mol,0.0082250986590181,0.0001127177105001,0.0002397451554938,0.0288059953717739,0.137705977397302,0.331055072210075,0.0870024755622632,0.230946175987374,0.0561136676280089,0.0514082410256882,0.0390887792418701,0.029604730281081,1.73884008480538e-06,,,
Stage3,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash,269.660023775185,mol/bbl,mol/mol,0.0242012597169394,0.0029708856208376,0.0003832456016785,0.233155980901527,0.252376660579046,0.261758950884649,0.0466064396268437,0.111158936659941,0.0226965629750459,0.020144571264431,0.0143254897560575,0.0106922989495211,6.81838010001171e-07,,,
Stage2,Vapor,Well-Condensate.Stage1-Condensate.Stage2-Flash,141.469452210116,mol/bbl,mol/mol,0.026015000387473,0.0243202211069574,0.0002356888942105,0.628243093318038,0.176105678740373,0.0908929949043855,0.0122036393894988,0.0270424618093168,0.0050232498087823,0.0043996729277454,0.0031296383434774,0.0025052674237217,2.48908342971397e-07,,,
Stage1,Vapor,Well-Condensate.Stage1-Flash,39036.4736555394,mol/bbl,mol/mol,0.0195558366045261,0.0588866108465873,0.0001521614265953,0.71395814682664,0.118371872398223,0.0552703750042382,0.0074296401437632,0.0164916590833576,0.0031645109411404,0.0027935716944687,0.0020933801143915,0.0018293281182968,2.81962899962831e-07,,,
Facility,Vapor,Default-LeakGc,39447.6031315247,mol/bbl,mol/mol,0.0196107565260692,0.0583804121822844,0.0001540406472158,0.710364032763795,0.119494964824811,0.0568096631227666,0.0077145697933724,0.0171766334407086,0.0033046960967963,0.0029179413602724,0.0021807139341251,0.0018923386307491,2.84577865472028e-07,,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.0581517069318252,0.0231634782019288,0.012161884266231,0.0038565144195688,0.0038119315722518,0.0006584597764915,0.0005812761048284,0.0016322996900459,0.0003865249824572,1.22090807540669e-07,,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,4.8431260707535,mol/bbl,mol/mol,0.0,0.0,0.0,0.748569846196527,0.159053990936217,0.0569424963438461,0.0137007259580864,0.0135423400927512,0.0018843741614627,0.0016634906363615,0.0039108182588311,0.0007318046194472,1.12796469174514e-07,,,
Tank,Vapor,Well-Water.Stage1-Water.Tank-Flash,4.05180797352422,scf/bbl,kg/scf,0.0,0.0,0.0,0.0143520392160257,0.0057168252674574,0.0030015944352991,0.0009518008861151,0.0009407976876397,0.0001625101141994,0.0001434609213039,0.0004028571197628,9.53956813804868e-05,3.01324268915132e-08,,,
Stage1,Vapor,Well-Water.Stage1-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Stage1,Vapor,Well-Water.Stage1-Flash,0.0,mol/bbl,mol/mol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Stage1,Vapor,Well-Water.Stage1-Flash,0.0,scf/bbl,kg/scf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.0264890668551596,0.0178393012509981,0.0103535215487221,0.0032791838734693,0.0032357592080795,0.0005410739784408,0.0004739060619067,0.0012632670859926,0.0002740244240339,5.57929948985189e-08,,,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,2.62280461545169,mol/bbl,mol/mol,0.0,0.0,0.0,0.629645865921649,0.226192641379397,0.0895124745016918,0.0215116748386133,0.0212268060060363,0.0028592647718792,0.002504320965304,0.0055888538377237,0.0009580025963152,9.51813912372227e-08,,,
Tank,Vapor,Well-Water.Stage1-Water.Stage2-Water.Tank-Flash,2.19426471634878,scf/bbl,kg/scf,0.0,0.0,0.0,0.0120719558847198,0.0081299676917206,0.0047184469000395,0.0014944340347986,0.0014746439588491,0.0002465855529688,0.000215974881415,0.0005757131655904,0.0001248821174547,2.54267383888657e-08,,,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,1.0,bbl/bbl,kg/bbl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0.0,mol/bbl,mol/mol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Stage2,Vapor,Well-Water.Stage1-Water.Stage2-Flash,0.0,scf/bbl,kg/scf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
